iter	Passed	Remaining
0	25	2511
1	50	2498
2	75	2435
3	101	2431
4	127	2424
5	153	2409
6	178	2364
7	204	2349
8	231	2337
9	257	2313
10	281	2277
11	306	2244
12	332	2222
13	358	2203
14	385	2186
15	412	2165
16	436	2129
17	460	2096
18	487	2076
19	513	2053
20	539	2030
21	566	2006
22	590	1977
23	614	1946
24	640	1920
25	665	1893
26	690	1865
27	715	1838
28	739	1809
29	764	1782
30	791	1760
31	816	1734
32	843	1712
33	870	1688
34	894	1661
35	919	1634
36	945	1609
37	971	1584
38	995	1557
39	1022	1533
40	1047	1506
41	1071	1480
42	1098	1456
43	1124	1431
44	1150	1406
45	1177	1381
46	1204	1357
47	1228	1330
48	1254	1306
49	1278	1278
50	1305	1254
51	1330	1227
52	1355	1201
53	1366	1164
54	1392	1139
55	1419	1115
56	1443	1089
57	1470	1064
58	1497	1040
59	1523	1015
60	1549	990
61	1575	965
62	1599	939
63	1625	914
64	1651	889
65	1677	864
66	1701	838
67	1726	812
68	1753	787
69	1780	762
70	1804	737
71	1831	712
72	1857	687
73	1883	661
74	1910	636
75	1936	611
76	1962	586
77	1986	560
78	2012	535
79	2037	509
80	2062	483
81	2086	458
82	2111	432
83	2137	407
84	2164	381
85	2189	356
86	2216	331
87	2240	305
88	2266	280
89	2291	254
90	2317	229
91	2342	203
92	2366	178
93	2393	152
94	2420	127
95	2446	101
96	2472	76
97	2496	50
98	2521	25
99	2547	0
